"date","cases","mcccityname1"
2020-03-10,1,"Cape Town"
2020-03-11,2,"Cape Town"
2020-03-12,6,"Cape Town"
2020-03-13,3,"Cape Town"
2020-03-14,2,"Cape Town"
2020-03-15,2,"Cape Town"
2020-03-16,28,"Cape Town"
2020-03-17,24,"Cape Town"
2020-03-18,24,"Cape Town"
2020-03-19,23,"Cape Town"
2020-03-20,22,"Cape Town"
2020-03-21,21,"Cape Town"
2020-03-22,4,"Cape Town"
2020-03-23,39,"Cape Town"
2020-03-24,20,"Cape Town"
2020-03-25,20,"Cape Town"
2020-03-26,16,"Cape Town"
2020-03-27,20,"Cape Town"
2020-03-28,13,"Cape Town"
2020-03-29,6,"Cape Town"
2020-03-30,26,"Cape Town"
2020-03-31,12,"Cape Town"
2020-04-01,11,"Cape Town"
2020-04-02,14,"Cape Town"
2020-04-03,23,"Cape Town"
2020-04-04,7,"Cape Town"
2020-04-05,14,"Cape Town"
2020-04-06,9,"Cape Town"
2020-04-07,18,"Cape Town"
2020-04-08,33,"Cape Town"
2020-04-09,40,"Cape Town"
2020-04-10,17,"Cape Town"
2020-04-11,10,"Cape Town"
2020-04-12,8,"Cape Town"
2020-04-13,8,"Cape Town"
2020-04-14,21,"Cape Town"
2020-04-15,26,"Cape Town"
2020-04-16,104,"Cape Town"
2020-04-17,82,"Cape Town"
2020-04-18,37,"Cape Town"
2020-04-19,39,"Cape Town"
2020-04-20,90,"Cape Town"
2020-04-21,162,"Cape Town"
2020-04-22,134,"Cape Town"
2020-04-23,134,"Cape Town"
2020-04-24,150,"Cape Town"
2020-04-25,123,"Cape Town"
2020-04-26,130,"Cape Town"
2020-04-27,107,"Cape Town"
2020-04-28,182,"Cape Town"
2020-04-29,214,"Cape Town"
2020-04-30,151,"Cape Town"
2020-05-01,158,"Cape Town"
2020-05-02,176,"Cape Town"
2020-05-03,203,"Cape Town"
2020-05-04,355,"Cape Town"
2020-05-05,467,"Cape Town"
2020-05-06,508,"Cape Town"
2020-05-07,481,"Cape Town"
2020-05-08,477,"Cape Town"
2020-05-09,538,"Cape Town"
2020-05-10,471,"Cape Town"
2020-05-11,550,"Cape Town"
2020-05-12,639,"Cape Town"
2020-05-13,608,"Cape Town"
2020-05-14,620,"Cape Town"
2020-05-15,569,"Cape Town"
2020-05-16,528,"Cape Town"
2020-05-17,503,"Cape Town"
2020-05-18,839,"Cape Town"
2020-05-19,897,"Cape Town"
2020-05-20,900,"Cape Town"
2020-05-21,889,"Cape Town"
2020-05-22,829,"Cape Town"
2020-05-23,648,"Cape Town"
2020-05-24,373,"Cape Town"
2020-05-25,754,"Cape Town"
2020-05-26,928,"Cape Town"
2020-05-27,931,"Cape Town"
2020-05-28,976,"Cape Town"
2020-05-29,1066,"Cape Town"
2020-05-30,748,"Cape Town"
2020-05-31,629,"Cape Town"
2020-06-01,1088,"Cape Town"
2020-06-02,1110,"Cape Town"
2020-06-03,1063,"Cape Town"
2020-06-04,1018,"Cape Town"
2020-06-05,931,"Cape Town"
2020-06-06,755,"Cape Town"
2020-06-07,517,"Cape Town"
2020-06-08,856,"Cape Town"
2020-06-09,1057,"Cape Town"
2020-06-10,832,"Cape Town"
2020-06-11,795,"Cape Town"
2020-06-12,818,"Cape Town"
2020-06-13,437,"Cape Town"
2020-06-14,250,"Cape Town"
2020-06-15,1099,"Cape Town"
2020-06-16,358,"Cape Town"
2020-06-17,947,"Cape Town"
2020-06-18,950,"Cape Town"
2020-06-19,909,"Cape Town"
2020-06-20,526,"Cape Town"
2020-06-21,343,"Cape Town"
2020-06-22,1111,"Cape Town"
2020-06-23,1064,"Cape Town"
2020-06-24,1078,"Cape Town"
2020-06-25,923,"Cape Town"
2020-06-26,831,"Cape Town"
2020-06-27,372,"Cape Town"
2020-06-28,323,"Cape Town"
2020-06-29,1128,"Cape Town"
2020-06-30,1003,"Cape Town"
2020-07-01,872,"Cape Town"
2020-07-02,825,"Cape Town"
2020-07-03,844,"Cape Town"
2020-07-04,424,"Cape Town"
2020-07-05,346,"Cape Town"
2020-07-06,858,"Cape Town"
2020-07-07,723,"Cape Town"
2020-07-08,627,"Cape Town"
2020-07-09,609,"Cape Town"
2020-07-10,578,"Cape Town"
2020-07-11,281,"Cape Town"
2020-07-12,186,"Cape Town"
2020-07-13,603,"Cape Town"
2020-07-14,570,"Cape Town"
2020-07-15,600,"Cape Town"
2020-07-16,546,"Cape Town"
2020-07-17,512,"Cape Town"
2020-07-18,272,"Cape Town"
2020-07-19,191,"Cape Town"
2020-07-20,624,"Cape Town"
2020-07-21,552,"Cape Town"
2020-07-22,527,"Cape Town"
2020-07-23,523,"Cape Town"
2020-07-24,412,"Cape Town"
2020-07-25,146,"Cape Town"
2020-07-26,126,"Cape Town"
2020-07-27,490,"Cape Town"
2020-07-28,390,"Cape Town"
2020-07-29,401,"Cape Town"
2020-07-30,303,"Cape Town"
2020-07-31,258,"Cape Town"
2020-08-01,106,"Cape Town"
2020-08-02,69,"Cape Town"
2020-08-03,363,"Cape Town"
2020-08-04,247,"Cape Town"
2020-08-05,209,"Cape Town"
2020-08-06,224,"Cape Town"
2020-08-07,223,"Cape Town"
2020-08-08,91,"Cape Town"
2020-08-09,82,"Cape Town"
2020-08-10,70,"Cape Town"
2020-08-11,244,"Cape Town"
2020-08-12,218,"Cape Town"
2020-08-13,192,"Cape Town"
2020-08-14,200,"Cape Town"
2020-08-15,103,"Cape Town"
2020-08-16,52,"Cape Town"
2020-08-17,199,"Cape Town"
2020-08-18,184,"Cape Town"
2020-08-19,146,"Cape Town"
2020-08-20,133,"Cape Town"
2020-08-21,147,"Cape Town"
2020-08-22,37,"Cape Town"
2020-08-23,29,"Cape Town"
2020-08-24,176,"Cape Town"
2020-08-25,111,"Cape Town"
2020-08-26,108,"Cape Town"
2020-08-27,88,"Cape Town"
2020-08-28,75,"Cape Town"
2020-08-29,45,"Cape Town"
2020-08-30,29,"Cape Town"
2020-08-31,119,"Cape Town"
2020-09-01,83,"Cape Town"
2020-09-02,80,"Cape Town"
2020-09-03,82,"Cape Town"
2020-09-04,80,"Cape Town"
2020-09-05,43,"Cape Town"
2020-09-06,29,"Cape Town"
2020-09-07,156,"Cape Town"
2020-09-08,103,"Cape Town"
2020-09-09,82,"Cape Town"
2020-09-10,103,"Cape Town"
2020-09-11,89,"Cape Town"
2020-09-12,29,"Cape Town"
2020-09-13,28,"Cape Town"
2020-09-14,92,"Cape Town"
2020-09-15,87,"Cape Town"
2020-09-16,86,"Cape Town"
2020-09-17,97,"Cape Town"
2020-09-18,93,"Cape Town"
2020-09-19,29,"Cape Town"
2020-09-20,15,"Cape Town"
2020-09-21,106,"Cape Town"
2020-09-22,111,"Cape Town"
2020-09-23,94,"Cape Town"
2020-09-24,29,"Cape Town"
2020-09-25,89,"Cape Town"
2020-09-26,27,"Cape Town"
2020-09-27,30,"Cape Town"
2020-09-28,115,"Cape Town"
2020-09-29,77,"Cape Town"
2020-09-30,98,"Cape Town"
2020-10-01,95,"Cape Town"
2020-10-02,113,"Cape Town"
2020-10-03,42,"Cape Town"
2020-10-04,28,"Cape Town"
2020-10-05,144,"Cape Town"
2020-10-06,106,"Cape Town"
2020-10-07,142,"Cape Town"
2020-10-08,171,"Cape Town"
2020-10-09,194,"Cape Town"
2020-10-10,64,"Cape Town"
2020-10-11,17,"Cape Town"
2020-10-12,203,"Cape Town"
2020-10-13,206,"Cape Town"
2020-10-14,151,"Cape Town"
2020-10-15,146,"Cape Town"
2020-10-16,159,"Cape Town"
2020-10-17,44,"Cape Town"
2020-10-18,51,"Cape Town"
2020-10-19,189,"Cape Town"
2020-10-20,204,"Cape Town"
2020-10-21,174,"Cape Town"
2020-10-22,189,"Cape Town"
2020-10-23,168,"Cape Town"
2020-10-24,67,"Cape Town"
2020-10-25,28,"Cape Town"
2020-10-26,176,"Cape Town"
2020-10-27,155,"Cape Town"
2020-10-28,150,"Cape Town"
2020-10-29,146,"Cape Town"
2020-10-30,137,"Cape Town"
2020-10-31,58,"Cape Town"
2020-11-01,23,"Cape Town"
2020-11-02,183,"Cape Town"
2020-11-03,169,"Cape Town"
2020-11-04,152,"Cape Town"
2020-11-05,191,"Cape Town"
2020-11-06,155,"Cape Town"
2020-11-07,72,"Cape Town"
2020-11-08,33,"Cape Town"
2020-11-09,237,"Cape Town"
2020-11-10,200,"Cape Town"
2020-11-11,206,"Cape Town"
2020-11-12,207,"Cape Town"
2020-11-13,200,"Cape Town"
2020-11-14,83,"Cape Town"
2020-11-15,70,"Cape Town"
2020-11-16,365,"Cape Town"
2020-11-17,273,"Cape Town"
2020-11-18,274,"Cape Town"
2020-11-19,351,"Cape Town"
2020-11-20,309,"Cape Town"
2020-11-21,175,"Cape Town"
2020-11-22,92,"Cape Town"
2020-11-23,583,"Cape Town"
2020-11-24,561,"Cape Town"
2020-11-25,447,"Cape Town"
2020-11-26,517,"Cape Town"
2020-11-27,501,"Cape Town"
2020-11-28,206,"Cape Town"
2020-11-29,136,"Cape Town"
2020-11-30,860,"Cape Town"
2020-12-01,815,"Cape Town"
2020-12-02,844,"Cape Town"
2020-12-03,844,"Cape Town"
2020-12-04,1122,"Cape Town"
2020-12-05,654,"Cape Town"
2020-12-06,298,"Cape Town"
2020-12-07,1410,"Cape Town"
2020-12-08,1609,"Cape Town"
2020-12-09,1650,"Cape Town"
2020-12-10,2088,"Cape Town"
2020-12-11,1721,"Cape Town"
2020-12-12,957,"Cape Town"
2020-12-13,717,"Cape Town"
2020-12-14,2229,"Cape Town"
2020-12-15,2283,"Cape Town"
2020-12-16,1022,"Cape Town"
2020-12-17,2121,"Cape Town"
2020-12-18,2165,"Cape Town"
2020-12-19,1383,"Cape Town"
2020-12-20,884,"Cape Town"
2020-12-21,2463,"Cape Town"
2020-12-22,2572,"Cape Town"
2020-12-23,2393,"Cape Town"
2020-12-24,1902,"Cape Town"
2020-12-25,543,"Cape Town"
2020-12-26,846,"Cape Town"
2020-12-27,867,"Cape Town"
2020-12-28,2643,"Cape Town"
2020-12-29,2569,"Cape Town"
2020-12-30,2340,"Cape Town"
2020-12-31,2037,"Cape Town"
2021-01-01,942,"Cape Town"
2021-01-02,1091,"Cape Town"
2021-01-03,910,"Cape Town"
2021-01-04,2526,"Cape Town"
2021-01-05,2347,"Cape Town"
2021-01-06,2343,"Cape Town"
2021-01-07,2046,"Cape Town"
2021-01-08,1929,"Cape Town"
2021-01-09,898,"Cape Town"
2021-01-10,520,"Cape Town"
2021-01-11,1780,"Cape Town"
2021-01-12,1699,"Cape Town"
2021-01-13,1560,"Cape Town"
2021-01-14,1159,"Cape Town"
2021-01-15,973,"Cape Town"
2021-01-16,395,"Cape Town"
2021-01-17,308,"Cape Town"
2021-01-18,977,"Cape Town"
2021-01-19,869,"Cape Town"
2021-01-20,724,"Cape Town"
2021-01-21,554,"Cape Town"
2021-01-22,516,"Cape Town"
2021-01-23,203,"Cape Town"
2021-01-24,104,"Cape Town"
2021-01-25,550,"Cape Town"
2021-01-26,471,"Cape Town"
2021-01-27,377,"Cape Town"
2021-01-28,387,"Cape Town"
2021-01-29,350,"Cape Town"
2021-01-30,118,"Cape Town"
2021-01-31,90,"Cape Town"
2021-02-01,369,"Cape Town"
2021-02-02,284,"Cape Town"
2021-02-03,281,"Cape Town"
2021-02-04,241,"Cape Town"
2021-02-05,240,"Cape Town"
2021-02-06,103,"Cape Town"
2021-02-07,68,"Cape Town"
2021-02-08,282,"Cape Town"
2021-02-09,220,"Cape Town"
2021-02-10,172,"Cape Town"
2021-02-11,171,"Cape Town"
2021-02-12,186,"Cape Town"
2021-02-13,91,"Cape Town"
2021-02-14,49,"Cape Town"
2021-02-15,214,"Cape Town"
2021-02-16,175,"Cape Town"
2021-02-17,168,"Cape Town"
2021-02-18,134,"Cape Town"
2021-02-19,142,"Cape Town"
2021-02-20,55,"Cape Town"
2021-02-21,41,"Cape Town"
2021-02-22,179,"Cape Town"
2021-02-23,161,"Cape Town"
2021-02-24,148,"Cape Town"
2021-02-25,126,"Cape Town"
2021-02-26,121,"Cape Town"
2021-02-27,51,"Cape Town"
2021-02-28,28,"Cape Town"
2021-03-01,132,"Cape Town"
2021-03-02,132,"Cape Town"
2021-03-03,106,"Cape Town"
2021-03-04,102,"Cape Town"
2021-03-05,117,"Cape Town"
2021-03-06,53,"Cape Town"
2021-03-07,33,"Cape Town"
2021-03-08,108,"Cape Town"
2021-03-09,112,"Cape Town"
2021-03-10,81,"Cape Town"
2021-03-11,87,"Cape Town"
2021-03-12,66,"Cape Town"
2021-03-13,23,"Cape Town"
2021-03-14,25,"Cape Town"
2021-03-15,107,"Cape Town"
2021-03-16,82,"Cape Town"
2021-03-17,94,"Cape Town"
2021-03-18,77,"Cape Town"
2021-03-19,87,"Cape Town"
2021-03-20,46,"Cape Town"
2021-03-21,35,"Cape Town"
2021-03-22,50,"Cape Town"
2021-03-23,138,"Cape Town"
2021-03-24,109,"Cape Town"
2021-03-25,106,"Cape Town"
2021-03-26,115,"Cape Town"
2021-03-27,37,"Cape Town"
2021-03-28,23,"Cape Town"
2021-03-29,129,"Cape Town"
2021-03-30,122,"Cape Town"
2021-03-31,92,"Cape Town"
2021-04-01,69,"Cape Town"
2021-04-02,31,"Cape Town"
2021-04-03,36,"Cape Town"
2021-04-04,28,"Cape Town"
2021-04-05,41,"Cape Town"
2021-04-06,108,"Cape Town"
2021-04-07,109,"Cape Town"
2021-04-08,95,"Cape Town"
2021-04-09,73,"Cape Town"
2021-04-10,34,"Cape Town"
2021-04-11,29,"Cape Town"
2021-04-12,126,"Cape Town"
2021-04-13,94,"Cape Town"
2021-04-14,98,"Cape Town"
2021-04-15,102,"Cape Town"
2021-04-16,98,"Cape Town"
2021-04-17,41,"Cape Town"
2021-04-18,28,"Cape Town"
2021-04-19,97,"Cape Town"
2021-04-20,87,"Cape Town"
2021-04-21,101,"Cape Town"
2021-04-22,88,"Cape Town"
2021-04-23,76,"Cape Town"
2021-04-24,44,"Cape Town"
2021-04-25,15,"Cape Town"
2021-04-26,135,"Cape Town"
2021-04-27,28,"Cape Town"
2021-04-28,130,"Cape Town"
2021-04-29,98,"Cape Town"
2021-04-30,96,"Cape Town"
2021-05-01,43,"Cape Town"
2021-05-02,41,"Cape Town"
2021-05-03,125,"Cape Town"
2021-05-04,112,"Cape Town"
2021-05-05,128,"Cape Town"
2021-05-06,140,"Cape Town"
2021-05-07,128,"Cape Town"
2021-05-08,54,"Cape Town"
2021-05-09,45,"Cape Town"
2021-05-10,148,"Cape Town"
2021-05-11,217,"Cape Town"
2021-05-12,217,"Cape Town"
2021-05-13,121,"Cape Town"
2021-05-14,145,"Cape Town"
2021-05-15,66,"Cape Town"
2021-05-16,39,"Cape Town"
2021-05-17,188,"Cape Town"
2021-05-18,179,"Cape Town"
2021-05-19,190,"Cape Town"
2021-05-20,150,"Cape Town"
2021-05-21,205,"Cape Town"
2021-05-22,92,"Cape Town"
2021-05-23,39,"Cape Town"
2021-05-24,251,"Cape Town"
2021-05-25,229,"Cape Town"
